dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,is_significant
csuite_nonlin_simpson,200,0.015258388947123,-0.0028806310161897,0.0327633466158308,0.0272858088164249,0.1364290440821245,correlation_matrix_difference,False
csuite_nonlin_simpson,500,0.0090973692991787,-0.0065263207133502,0.0247602076780523,0.1053502609439169,0.5267513047195846,correlation_matrix_difference,False
csuite_symprod_simpson,20,-0.0460328161160366,-0.0728035690271565,-0.0190559973507211,0.0001411036813773,0.0005396174489725,correlation_matrix_difference,True
csuite_symprod_simpson,50,-0.0188812987079657,-0.0429765889921794,0.0055692545275422,0.0619001369200389,0.1857004107601167,correlation_matrix_difference,False
csuite_symprod_simpson,100,-0.0052585047742381,-0.0249755130104347,0.0156700723769182,0.4702648333919802,0.9405296667839604,correlation_matrix_difference,False
csuite_symprod_simpson,200,-0.0071100899707872,-0.0295871638967758,0.0146455982980246,0.3900199359079518,0.6322013848119521,correlation_matrix_difference,False
csuite_symprod_simpson,500,-0.0033517696395131,-0.0209109370467455,0.0133037148059114,0.6132542176643868,1.0,correlation_matrix_difference,False
csuite_weak_arrows,20,0.2460532810375459,0.1818120934006923,0.3095813600408744,3.4412810293497968e-15,2.0647686176098782e-14,correlation_matrix_difference,True
csuite_weak_arrows,50,0.2501583510058682,0.2031209998240907,0.2975846335800231,1.798758841783531e-16,1.0792553050701189e-15,correlation_matrix_difference,True
csuite_weak_arrows,100,0.1404331002902634,0.1023170149713266,0.1793458317393775,2.0689769896103186e-13,1.2413861937661913e-12,correlation_matrix_difference,True
csuite_weak_arrows,200,0.0844461958400496,0.0558425737584436,0.1133592385118767,1.4644116702504568e-10,8.786470021502741e-10,correlation_matrix_difference,True
csuite_weak_arrows,500,0.0458672372331497,0.0238819046762369,0.0690333860949585,2.1207195839800437e-07,1.272431750388026e-06,correlation_matrix_difference,True
custom_scm,20,0.3340617764130698,0.2429277372546432,0.4376387351946532,1.2733079538420982e-16,5.093231815368393e-16,correlation_matrix_difference,True
custom_scm,50,0.1562537415915319,0.1015971053010503,0.1992757057378426,1.0240740550959067e-14,4.096296220383627e-14,correlation_matrix_difference,True
custom_scm,100,0.1144556504602704,0.0786812439970709,0.1609629695925789,2.2347168304074689e-13,8.938867321629875e-13,correlation_matrix_difference,True
custom_scm,200,0.085632891507734,0.0529408878594728,0.1222728890071561,1.3379830845101022e-10,5.35193233804041e-10,correlation_matrix_difference,True
custom_scm,500,0.0460297243570925,0.0283970704321155,0.0647698185856571,1.530322055127603e-09,6.121288220510413e-09,correlation_matrix_difference,True
csuite_large_backdoor,20,0.0029479166666666,0.0012152777777778,0.0046527777777778,2.0122895164012965e-05,0.000120737370984,k_marginal_tvd,True
csuite_large_backdoor,50,0.0040138888888888,0.0025486111111111,0.0055069444444444,5.859819222941611e-10,3.5158915337649667e-09,k_marginal_tvd,True
csuite_large_backdoor,100,0.0019305555555555,0.0008333333333334,0.0030555555555555,1.582908289896185e-05,7.914541449480925e-05,k_marginal_tvd,True
csuite_large_backdoor,200,0.0003888888888889,-0.0006458333333333,0.0014097222222221,0.3203806891879551,0.9611420675638654,k_marginal_tvd,False
csuite_large_backdoor,500,-0.002625,-0.0035624999999999,-0.0017708333333333,1.0639235772613869e-11,6.383541463568322e-11,k_marginal_tvd,True
csuite_mixed_confounding,20,0.0036723484848484,0.0017916666666667,0.0056401515151514,1.4819208322671645e-06,8.891524993602986e-06,k_marginal_tvd,True
csuite_mixed_confounding,50,0.0041856060606059,0.0027462121212121,0.0056136363636364,3.992580040116467e-10,2.3955480240698803e-09,k_marginal_tvd,True
csuite_mixed_confounding,100,0.0034393939393939,0.0020946969696969,0.0048295454545455,1.0407263932912907e-09,6.244358359747744e-09,k_marginal_tvd,True
csuite_mixed_confounding,200,0.004467803030303,0.0032613636363636,0.0055984848484847,2.2347168304074689e-13,1.3408300982444813e-12,k_marginal_tvd,True
csuite_mixed_confounding,500,0.0009431818181817,5.303030303029088e-05,0.0018749999999999,0.0089265158397941,0.0357060633591767,k_marginal_tvd,True
csuite_mixed_simpson,20,0.0067499999999999,-0.0016666666666666,0.015125,0.0387873027867332,0.155149211146933,k_marginal_tvd,False
csuite_mixed_simpson,50,0.0067083333333333,0.000625,0.0125416666666666,0.0047087774330669,0.0235438871653348,k_marginal_tvd,True
csuite_mixed_simpson,100,0.0119166666666666,0.0072499999999999,0.0168333333333333,4.658669118469749e-09,2.519320275896397e-08,k_marginal_tvd,True
csuite_mixed_simpson,200,0.0054583333333333,0.001625,0.0094166666666666,0.0002188230393514,0.001094115196757,k_marginal_tvd,True
csuite_mixed_simpson,500,0.0050833333333333,0.0021249999999999,0.0078333333333332,1.1117215508092107e-05,5.5586077540460536e-05,k_marginal_tvd,True
csuite_nonlin_simpson,20,0.0056249999999999,0.0025833333333333,0.0086666666666666,2.25151287549084e-06,1.350907725294504e-05,k_marginal_tvd,True
csuite_nonlin_simpson,50,0.0104166666666667,0.0076666666666667,0.0132916666666667,3.071760453520344e-14,1.8430562721122066e-13,k_marginal_tvd,True
csuite_nonlin_simpson,100,0.0110416666666667,0.0082083333333333,0.0139583333333333,4.2845888265297755e-15,2.5707532959178655e-14,k_marginal_tvd,True
csuite_nonlin_simpson,200,0.0072499999999999,0.0050833333333333,0.0094999999999999,4.926920513599302e-12,1.970768205439721e-11,k_marginal_tvd,True
csuite_nonlin_simpson,500,0.003,0.001125,0.0048333333333333,0.0001430577254602,0.0006092160060475,k_marginal_tvd,True
csuite_symprod_simpson,20,0.0165833333333333,0.0116250000000001,0.0215833333333333,2.7461162100432597e-12,8.23834863012978e-12,k_marginal_tvd,True
csuite_symprod_simpson,50,0.0063749999999999,0.0030833333333332,0.0095833333333334,2.4370026968345643e-05,4.8740053936691286e-05,k_marginal_tvd,True
csuite_symprod_simpson,100,0.0037916666666666,0.0013333333333333,0.0063333333333333,0.0001168333942769,0.0005841669713847,k_marginal_tvd,True
csuite_symprod_simpson,200,0.0025,0.0008333333333332,0.0042499999999999,0.0012972019984993,0.0025944039969986,k_marginal_tvd,True
csuite_symprod_simpson,500,0.0016249999999999,0.0,0.0033333333333333,0.0102659602723038,0.051329801361519,k_marginal_tvd,False
csuite_weak_arrows,20,0.0031354166666667,0.0011249999999999,0.0051319444444443,6.095172472054258e-05,0.0003657103483232,k_marginal_tvd,True
csuite_weak_arrows,50,0.002111111111111,0.0005972222222222,0.0036249999999999,0.0003204120701635,0.0019224724209813,k_marginal_tvd,True
csuite_weak_arrows,100,0.0014722222222223,0.0003333333333334,0.0026388888888888,0.0008012309189379,0.0048073855136275,k_marginal_tvd,True
csuite_weak_arrows,200,0.0007986111111111,-5.555555555555869e-05,0.0015624999999999,0.0188554829829919,0.0754219319319678,k_marginal_tvd,False
csuite_weak_arrows,500,0.0002083333333332,-0.0006874999999999,0.0011319444444444,0.5763458216144237,1.0,k_marginal_tvd,False
custom_scm,20,0.0170416666666667,0.0111249999999999,0.0231666666666665,5.548755346104298e-10,2.219502138441719e-09,k_marginal_tvd,True
custom_scm,50,0.007875,0.0045833333333333,0.01125,5.2732942747642215e-09,3.1639765648585336e-08,k_marginal_tvd,True
custom_scm,100,0.00375,0.0007083333333333,0.006875,0.0022379813712063,0.0089519254848252,k_marginal_tvd,True
custom_scm,200,0.0029583333333333,0.0006666666666665,0.00525,0.0016067586575871,0.0064270346303487,k_marginal_tvd,True
custom_scm,500,0.0030416666666667,0.0004166666666667,0.0057916666666666,0.0048103633698036,0.0192414534792146,k_marginal_tvd,True
